date,open,high,low,close,volume
1989-05-17,2.3875,2.4875,2.3625,2.425,8472000
1989-05-18,2.45,2.45,2.4,2.4125,4793000
1989-05-19,2.425,2.4875,2.4125,2.4125,6997000
1989-05-22,2.4375,2.5375,2.425,2.5125,9037000
1989-05-23,2.525,2.5375,2.4875,2.5125,9791000
1989-05-24,2.5,2.5125,2.4625,2.4875,3297000
1989-05-25,2.475,2.5125,2.3875,2.4125,4443000
1989-05-26,2.4125,2.5,2.3875,2.4875,4433000
1989-05-30,2.5,2.5125,2.4125,2.425,2760000
1989-05-31,2.425,2.475,2.4125,2.45,2776000
1989-06-01,2.45,2.5125,2.45,2.5,2789000
1989-06-02,2.5,2.5125,2.425,2.4375,3971000
1989-06-05,2.4375,2.45,2.35,2.35,3879000
1989-06-06,2.3375,2.375,2.275,2.3,6526000
1989-06-07,2.325,2.35,2.3125,2.3375,4446000
1989-06-08,2.3375,2.45,2.3375,2.4125,5568000
1989-06-09,2.3875,2.525,2.3875,2.5125,9041000
1989-06-12,2.525,2.575,2.5125,2.55,7035000
1989-06-13,2.4875,2.5,2.4375,2.475,3244000
1989-06-14,2.5,2.525,2.45,2.4625,2005000
1989-06-15,2.4875,2.4875,2.325,2.3375,5796000
1989-06-16,2.2875,2.3875,2.25,2.3125,5289000
1989-06-19,2.3125,2.3125,2.1875,2.2375,9343000
1989-06-20,2.2375,2.2625,2.1,2.1,4833000
1989-06-21,2.0875,2.2,2.075,2.1375,4722000
1989-06-22,2.1375,2.175,2.1125,2.1375,1517000
1989-06-23,2.175,2.225,2.175,2.2125,4204000
1989-06-26,2.225,2.25,2.2125,2.225,3200000
1989-06-27,2.2375,2.275,2.125,2.1375,3489000
1989-06-28,2.0875,2.1,1.9875,2.0,11655000
1989-06-29,1.9875,2.0,1.85,1.875,12001000
1989-06-30,1.85,1.875,1.75,1.85,9602000
1989-07-03,1.85,1.8625,1.8,1.85,2115000
1989-07-05,1.8625,1.8625,1.825,1.8375,5376000
1989-07-06,1.8375,1.85,1.775,1.825,7211000
1989-07-07,1.825,1.8625,1.825,1.8375,3835000
1989-07-10,1.85,1.9,1.8375,1.85,4259000
1989-07-11,1.8625,1.875,1.7625,1.775,3131000
1989-07-12,1.7625,1.8,1.725,1.775,2793000
1989-07-13,1.775,1.8125,1.7375,1.7625,5907000
1989-07-14,1.7875,1.7875,1.6,1.65,11989000
1989-07-17,1.6125,1.6125,1.475,1.5125,26337000
1989-07-18,1.4875,1.4875,1.35,1.425,16071000
1989-07-19,1.4625,1.525,1.4375,1.5125,10937000
1989-07-20,1.5125,1.5875,1.5125,1.525,8357000
1989-07-21,1.5375,1.5375,1.4875,1.4875,2484000
1989-07-24,1.475,1.5,1.4375,1.4875,2244000
1989-07-25,1.5,1.5375,1.45,1.4625,3010000
1989-07-26,1.475,1.475,1.4,1.4375,5529000
1989-07-27,1.45,1.475,1.4,1.4625,2731000
1989-07-28,1.4625,1.4625,1.4125,1.4375,2795000
1989-07-31,1.4375,1.45,1.3125,1.3375,7105000
1989-08-01,1.35,1.425,1.2625,1.4125,15397000
1989-08-02,1.3875,1.5,1.375,1.4875,4630000
1989-08-03,1.5,1.55,1.4875,1.5375,3687000
1989-08-04,1.5125,1.625,1.5,1.6125,6314000
1989-08-07,1.6375,1.65,1.475,1.4875,6811000
1989-08-08,1.5,1.5,1.4625,1.4875,2030000
1989-08-09,1.4625,1.475,1.425,1.45,3914000
1989-08-10,1.45,1.475,1.425,1.45,1910000
1989-08-11,1.475,1.5,1.45,1.475,1908000
1989-08-14,1.4625,1.4625,1.4375,1.45,1824000
1989-08-15,1.45,1.4625,1.4125,1.45,2281000
1989-08-16,1.45,1.5,1.425,1.4375,2884000
1989-08-17,1.45,1.45,1.4,1.4375,3051000
1989-08-18,1.4375,1.45,1.425,1.4375,2258000
1989-08-21,1.45,1.45,1.4,1.4125,2702000
1989-08-22,1.4,1.4375,1.4,1.4125,1898000
1989-08-23,1.4375,1.5,1.425,1.475,2873000
1989-08-24,1.475,1.4875,1.325,1.4,13287000
1989-08-25,1.3625,1.425,1.35,1.4,5137000
1989-08-28,1.3875,1.475,1.375,1.475,5835000
1989-08-29,1.475,1.475,1.3875,1.4125,6481000
1989-08-30,1.4,1.425,1.3875,1.425,5599000
1989-08-31,1.425,1.4625,1.4125,1.4375,5014000
1989-09-01,1.4375,1.4375,1.375,1.4125,5743000
1989-09-05,1.4125,1.4625,1.4,1.425,2086000
1989-09-06,1.4375,1.4625,1.425,1.45,3452000
1989-09-07,1.4625,1.5,1.425,1.4375,4337000
1989-09-08,1.45,1.475,1.4375,1.4625,5527000
1989-09-11,1.475,1.525,1.475,1.5,5467000
1989-09-12,1.5,1.5375,1.4875,1.4875,4143000
1989-09-13,1.4875,1.5125,1.425,1.425,6014000
1989-09-14,1.4375,1.4375,1.4125,1.4125,2343000
1989-09-15,1.4375,1.4625,1.4125,1.45,4895000
1989-09-18,1.45,1.45,1.4,1.4125,3616000
1989-09-19,1.375,1.425,1.3625,1.3875,3593000
1989-09-20,1.3625,1.375,1.2625,1.3,26772000
1989-09-21,1.2875,1.3,1.275,1.3,3864000
1989-09-22,1.275,1.3,1.275,1.2875,3140000
1989-09-25,1.2625,1.35,1.2375,1.325,5137000
1989-09-26,1.325,1.3375,1.2875,1.3,2117000
1989-09-27,1.275,1.3125,1.25,1.2875,5485000
1989-09-28,1.2875,1.3125,1.275,1.3,2319000
1989-09-29,1.2875,1.3,1.275,1.3,1288000
1989-10-02,1.275,1.3,1.275,1.275,2269000
1989-10-03,1.2875,1.3,1.2625,1.2875,2754000
1989-10-04,1.2875,1.2875,1.25,1.2625,2461000
1989-10-05,1.25,1.3,1.25,1.2875,3431000
1989-10-06,1.3125,1.3125,1.275,1.2875,2384000
1989-10-09,1.2875,1.2875,1.2375,1.2625,1293000
1989-10-10,1.275,1.2875,1.25,1.25,2447000
1989-10-11,1.2625,1.2625,1.225,1.25,3768000
1989-10-12,1.25,1.25,1.2125,1.225,5483000
1989-10-13,1.2375,1.2375,1.15,1.1875,4198000
1989-10-16,1.15,1.2,1.0875,1.2,9051000
1989-10-17,1.1875,1.2,1.15,1.175,2798000
1989-10-18,1.1625,1.2,1.1375,1.175,2750000
1989-10-19,1.1875,1.2,1.175,1.175,1920000
1989-10-20,1.1875,1.1875,1.15,1.1625,1812000
1989-10-23,1.175,1.1875,1.1375,1.15,2529000
1989-10-24,1.1375,1.15,1.125,1.1375,1475000
1989-10-25,1.15,1.15,1.1125,1.125,1369000
1989-10-26,1.1125,1.125,1.075,1.0875,2175000
1989-10-27,1.1,1.1125,0.975,1.0375,4749000
1989-10-30,1.025,1.05,1.0125,1.025,4022000
1989-10-31,1.025,1.0625,1.025,1.05,3425000
1989-11-01,1.05,1.0875,1.025,1.0375,3445000
1989-11-02,1.025,1.0375,1.0,1.0125,2519000
1989-11-03,1.0125,1.0375,1.0,1.0,1832000
1989-11-06,1.0,1.0125,0.9625,0.9625,2037000
1989-11-07,1.0,1.05,0.9875,1.05,4240000
1989-11-08,1.1,1.1375,1.0375,1.0625,6161000
1989-11-09,1.075,1.15,1.075,1.1375,9666000
1989-11-10,1.1375,1.3,1.1375,1.2125,10968000
1989-11-13,1.2375,1.25,1.1875,1.2,3775000
1989-11-14,1.2,1.2,1.1375,1.15,2993000
1989-11-15,1.15,1.175,1.1375,1.15,903000
1989-11-16,1.1625,1.175,1.075,1.1125,6078000
1989-11-17,1.075,1.0875,1.0,1.025,4630000
1989-11-20,1.0375,1.05,1.0125,1.05,3741000
1989-11-21,1.05,1.0625,0.975,1.0125,3274000
1989-11-22,1.0125,1.0375,1.0,1.025,5386000
1989-11-24,1.0375,1.05,1.025,1.0375,1836000
1989-11-27,1.0375,1.05,1.0125,1.025,3368000
1989-11-28,1.025,1.025,0.9875,1.0125,2348000
1989-11-29,0.9875,1.0125,0.9875,1.0125,2007000
1989-11-30,1.0,1.0125,0.9875,1.0,1860000
1989-12-01,1.0,1.025,0.9625,0.9625,2139000
1989-12-04,0.9875,1.025,0.9625,1.0,3275000
1989-12-05,0.9875,1.025,0.9875,1.0125,2921000
1989-12-06,1.0,1.0125,0.975,0.975,2403000
1989-12-07,0.9875,0.9875,0.95,0.975,3864000
1989-12-08,0.975,1.0,0.975,1.0,2872000
1989-12-11,0.975,1.0,0.9625,1.0,3182000
1989-12-12,1.0,1.0125,0.9875,1.0,2821000
